2026-04-18 22:55:06	Creedence Clearwater Revival	Bayou Country	Penthouse Pauper - Album Version
2026-04-18 22:58:46	Creedence Clearwater Revival	Bayou Country	Proud Mary
2026-04-18 23:02:44	The Mavericks	Trampoline (Expanded Edition)	Dance The Night Away
2026-04-18 23:07:07	The Mavericks	Trampoline (Expanded Edition)	Tell Me Why
2026-04-18 23:10:56	The Mavericks	Trampoline (Expanded Edition)	I Should Know
2026-04-18 23:17:56	Anne McCue	Roll	Where the Darkness Grows
2026-04-18 23:25:23	Anne McCue	Roll	Machine Gun
2026-04-18 23:33:38	Anne McCue	Roll	Roll
2026-04-18 23:38:34	Anne McCue	Roll	Crazy Beautiful Child
2026-04-18 23:42:43	Anne McCue	Roll	Stupid
2026-04-19 13:22:43	Martin Stephenson	Lilac Tree	Lilac Tree
2026-04-19 13:27:25	Martin Stephenson	Lilac Tree	Orange
2026-04-19 13:29:44	Martin Stephenson	Lilac Tree	Rainbow
2026-04-19 13:33:48	Martin Stephenson	Lilac Tree	2 Sorrows
2026-04-19 13:35:31	Martin Stephenson	Lilac Tree	Every Step
2026-04-19 13:40:34	Martin Stephenson	Lilac Tree	Folksinger
2026-04-19 13:43:54	David Bowie	David Live (2005 Mix) [Remastered Version]	1984 (Live) [2005 Mix] [2016 Remaster]
2026-04-19 13:47:16	David Bowie	David Live (2005 Mix) [Remastered Version]	1984 (Live) [2005 Mix] [2016 Remaster]
2026-04-19 13:49:28	David Bowie	David Live (2005 Mix) [Remastered Version]	Rock 'N' Roll Suicide (Live) [2005 Mix] [2016 Remaster]
2026-04-19 13:54:28	Creedence Clearwater Revival	Bayou Country	Penthouse Pauper - Album Version
2026-04-19 16:29:30	Creedence Clearwater Revival	Bayou Country	Keep On Chooglin' - Album Version
2026-04-19 16:37:15	David Bowie	David Bowie (aka Space Oddity) [2015 Remaster]	Unwashed And Somewhat Slightly Dazed (2015 remaster)
2026-04-19 16:44:13	David Bowie	David Bowie (aka Space Oddity) [2015 Remaster]	Letter to Hermione (2015 Remaster)
2026-04-19 16:46:51	David Bowie	David Bowie (aka Space Oddity) [2015 Remaster]	Cygnet Committee (2015 Remaster)
2026-04-19 21:11:58	Creedence Clearwater Revival	Bayou Country	Born on the Bayou
2026-04-19 21:17:14	Creedence Clearwater Revival	Bayou Country	Bootleg
2026-04-19 21:20:17	Creedence Clearwater Revival	Bayou Country	Graveyard Train - Album Version
2026-04-20 12:58:30	Emma Swift	Blonde on the Tracks (Deluxe Edition)	queen jane approximately
2026-04-20 13:12:13	Emma Swift	Blonde on the Tracks (Deluxe Edition)	I Contain Multitudes
2026-04-20 13:17:20	Emma Swift	Blonde on the Tracks (Deluxe Edition)	one of us must know (sooner or later)
2026-04-20 13:23:40	Emma Swift	Blonde on the Tracks (Deluxe Edition)	simple twist of fate
2026-04-20 13:28:00	Emma Swift	Blonde on the Tracks (Deluxe Edition)	sad eyed lady of the lowlands
2026-04-20 13:40:32	Emma Swift	Blonde on the Tracks (Deluxe Edition)	The Man In Me
2026-04-20 13:43:59	Emma Swift	Blonde on the Tracks (Deluxe Edition)	going going gone
2026-04-20 13:47:29	Emma Swift	Blonde on the Tracks (Deluxe Edition)	you're a big girl now
2026-04-20 13:52:57	Emma Swift	Blonde on the Tracks (Deluxe Edition)	I Contain Multitudes (Live)
2026-04-20 13:58:11	Emma Swift	Blonde on the Tracks (Deluxe Edition)	Simple Twist of Fate (Live)
2026-04-20 14:02:33	Emma Swift	Blonde on the Tracks (Deluxe Edition)	Going Going Gone (Live)
2026-04-20 14:05:48	Chaparelle	western pleasure	Bleeding Hearts
