2018-09-07 09:41:22	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Stone Free
2018-09-07 09:44:57	The Jimi Hendrix Experience	The Jimi Hendrix Experience	51st Anniversary
2018-09-07 09:48:13	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Highway Chile
2018-09-07 09:51:46	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Can You See Me
2018-09-07 09:54:19	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Remember
2018-09-07 09:57:08	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Red House
2018-09-07 10:04:39	The Twilight Sad	The Twilight Sad	There's A Girl In The Corner
2018-09-07 10:08:29	The Twilight Sad	The Twilight Sad	Last January
2018-09-07 10:13:41	The Twilight Sad	The Twilight Sad	I Could Give You All That You Don’t Want
2018-09-07 10:17:59	The Twilight Sad	The Twilight Sad	It Never Was The Same
2018-09-07 11:15:14	The Twilight Sad	The Twilight Sad	Drown So I Can Watch
2018-09-07 11:18:31	The Twilight Sad	The Twilight Sad	In Nowheres
2018-09-07 11:23:56	The Twilight Sad	The Twilight Sad	Nobody Wants To Be Here and Nobody Wants To Leave
2018-09-07 14:14:17	The Twilight Sad	The Twilight Sad	Pills I Swallow
2018-09-07 14:18:18	The Twilight Sad	The Twilight Sad	Leave The House
2018-09-07 14:22:50	The Twilight Sad	The Twilight Sad	Sometimes I Wished I Could Fall Asleep
2018-09-07 15:00:58	Bobbie Gentry	Bobbie Gentry	Mississippi Delta
2018-09-07 15:04:09	Bobbie Gentry	Bobbie Gentry	I Saw An Angel Die
2018-09-07 15:07:09	Bobbie Gentry	Bobbie Gentry	Chickasaw County Child
2018-09-07 15:09:59	Bobbie Gentry	Bobbie Gentry	Sunday Best
2018-09-07 15:12:45	Bobbie Gentry	Bobbie Gentry	Niki Hoeky
2018-09-07 15:15:34	Bobbie Gentry	Bobbie Gentry	Papa, Won't You Let Me Go To Town With You
2018-09-07 15:18:10	Bobbie Gentry	Bobbie Gentry	Bugs
2018-09-07 15:20:21	Bobbie Gentry	Bobbie Gentry	Hurry, Tuesday Child
2018-09-07 15:24:17	Bobbie Gentry	Bobbie Gentry	Lazy Willie
2018-09-07 15:27:00	Bobbie Gentry	Bobbie Gentry	Ode to Billie Joe
2018-09-07 15:38:19	Corb Lund	Corb Lund	Weight of the Gun
2018-09-07 17:04:39	Corb Lund	Corb Lund	Run This Town
2018-09-07 17:07:21	Corb Lund	Corb Lund	Alt Berliner Blues
2018-09-07 17:10:20	Corb Lund	Corb Lund	Alice Eyes
2018-09-07 17:14:03	Corb Lund	Corb Lund	Sadr City
2018-09-07 17:19:14	Corb Lund	Corb Lund	Washed-Up Rock Star Factory Blues
2018-09-07 17:23:27	Corb Lund	Corb Lund	S Lazy H
2018-09-07 17:35:49	Corb Lund	Corb Lund	Sunbeam
2018-09-08 16:47:13	The Cure	The Cure	Killing An Arab
2018-09-08 16:49:38	The Cure	The Cure	10:15 Saturday Night
2018-09-08 16:53:17	The Cure	The Cure	Boys Don't Cry
2018-09-08 16:55:52	The Cure	The Cure	Jumping Someone Else's Train
2018-09-08 16:58:48	The Cure	The Cure	A Forest (Edit)
2018-09-08 17:03:43	The Cure	The Cure	Play for Today
2018-09-08 17:07:21	The Cure	The Cure	Primary
2018-09-08 17:10:58	The Cure	The Cure	Other Voices
2018-09-08 17:15:26	The Cure	The Cure	Charlotte Sometimes
2018-09-08 19:35:33	The Cure	The Cure	The Hanging Garden
2018-09-08 19:39:55	The Cure	The Cure	Let's Go to Bed
2018-09-08 19:43:29	The Cure	The Cure	The Walk
2018-09-08 19:46:58	The Cure	The Cure	The Lovecats
2018-09-08 19:50:38	The Cure	The Cure	The Caterpillar
2018-09-08 19:54:18	The Cure	The Cure	Inbetween Days
2018-09-08 19:57:15	The Cure	The Cure	Close to Me
2018-09-08 20:00:55	The Cure	The Cure	A Night Like This
2018-09-10 09:03:37	Lloyd Cole	Lloyd Cole	Backwoods
2018-09-10 09:06:24	Lloyd Cole	Lloyd Cole	Old Enough To Know Better
2018-09-10 09:09:01	Lloyd Cole	Lloyd Cole	Another Lover
2018-09-10 09:10:04	Lloyd Cole	Lloyd Cole	39 Down
2018-09-10 09:13:17	Lloyd Cole	Lloyd Cole	Sunburst
2018-09-10 09:17:06	Lloyd Cole	Lloyd Cole	You're A Big Girl Now
2018-09-10 09:18:57	Lloyd Cole	Lloyd Cole	Alright People
2018-09-10 09:25:12	Lloyd Cole	Lloyd Cole	Fool You Are (Demo)
2018-09-10 09:28:48	Lloyd Cole	Lloyd Cole	California Earthquake
2018-09-10 09:32:38	Lloyd Cole	Lloyd Cole	Women's Studies
2018-09-10 09:36:50	Lloyd Cole	Lloyd Cole	Period Piece
2018-09-10 09:40:18	Lloyd Cole	Lloyd Cole	Myrtle and Rose
2018-09-10 09:45:37	Lloyd Cole	Lloyd Cole	No Truck
2018-09-10 09:48:29	Lloyd Cole	Lloyd Cole	Blue Like Mars
2018-09-10 09:52:49	Lloyd Cole	Lloyd Cole	Opposites Day
2018-09-10 09:57:06	Lloyd Cole	Lloyd Cole	Silver Lake
2018-09-10 09:59:48	Lloyd Cole	Lloyd Cole	It's Late
2018-09-10 10:03:00	Lloyd Cole	Lloyd Cole	Kids Today
2018-09-10 10:05:56	Lloyd Cole	Lloyd Cole	Diminished Ex
2018-09-10 10:27:10	Bobbie Gentry	Bobbie Gentry	Mississippi Delta
